id,ccn,agencyId,date,createDate,updateDate,city,state,postalCode,blockizedAddress,incidentType,parentIncidentType,narrative,latitude,longitude
815027479,17-021952,85746,2017-08-10 12:28:48 AM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,10400 Block INDUSTRIAL BLVD NE,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.610348371131316,-83.82686376571655
815027478,17-021953,85746,2017-08-10 12:43:11 AM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,9100 Block BROWN BRIDGE RD SW & LEAFSTONE DR,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5946,-83.8882
815027477,17-021954,85746,2017-08-10 12:46:20 AM,2017-08-10 01:30:41 PM,2017-09-16 01:31:19 AM,COVINGTON,GA,,1100 Block CLARK ST NW,CALLS-unsecure premis,Proactive Policing,CALLS-Unsecure Premis,33.5966258,-83.86097819999998
815027476,17-021955,85746,2017-08-10 01:17:32 AM,2017-08-10 01:30:41 PM,2017-09-17 01:31:38 AM,COVINGTON,GA,,7200 Block TURNER LAKE RD NW,CALLS-suspicious,Quality of Life,CALLS-Suspicious,33.6055,-83.8758
815027473,17-021957-AR,85746,2017-08-10 01:29:04 AM,2017-08-10 01:30:41 PM,2017-12-06 05:23:21 PM,COVINGTON,GA,,MILL ST SE,ARREST-Clrd Adult Arst (One Incident),Other ,ARREST-Clrd Adult Arst (One Incident),33.5941,-83.8507
815027472,17-021958,85746,2017-08-10 01:45:45 AM,2017-08-10 01:30:41 PM,2017-12-06 05:23:21 PM,COVINGTON,GA,,10100 Block ALCOVY RD NE,REPORTS-con sub p/meth,Quality of Life,REPORTS-Con Sub P/Meth,33.6163845,-83.8438908
815027471,17-021959,85746,2017-08-10 02:46:32 AM,2017-08-10 01:30:41 PM,2017-09-17 01:31:38 AM,COVINGTON,GA,,10400 Block INDUSTRIAL BLVD NE,CALLS-escort,Proactive Policing,CALLS-Escort,33.610348371131316,-83.82686376571655
815027470,17-021960,85746,2017-08-10 03:24:13 AM,2017-08-10 01:30:41 PM,2017-09-17 01:31:39 AM,COVINGTON,GA,,10700 Block GA HWY 36,CALLS-burglary alarm,Other ,CALLS-Burglary Alarm,33.558490738842224,-83.84971618652344
814979913,17-021445-AR,85746,2017-08-05 01:44:37 AM,2017-08-10 01:30:45 AM,2017-11-11 01:31:42 AM,COVINGTON,GA,,14400 Block PARAS DR,ARREST-Clrd Adult Arst (One Incident),Other ,ARREST-Clrd Adult Arst (One Incident),33.6101,-83.8249
814979911,17-021891,85746,2017-08-08 05:45:00 PM,2017-08-10 01:30:42 AM,2017-12-06 05:23:21 PM,COVINGTON,GA,,8100 Block WASHINGTON ST SW,REPORTS-theft frm mtr v,Theft from Vehicle,REPORTS-Theft Frm Mtr V,33.582723,-83.87798670000001
814979909,17-021867,85746,2017-08-09 08:47:41 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,3100 Block US HWY 278 NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.6031815,-83.8615615
814979908,17-021868,85746,2017-08-09 08:59:47 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,1100 Block CHURCH ST SE & CLARK ST NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5968,-83.8594
814979907,17-021869,85746,2017-08-09 09:03:43 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,2100 Block EMORY ST NW,CALLS-agency assist,Other ,CALLS-Agency Assist,33.5974,-83.8638
814979906,17-021874,85746,2017-08-09 09:30:00 AM,2017-08-10 01:30:42 AM,2017-12-06 05:23:21 PM,COVINGTON,GA,,9100 Block ACCESS RD NW,REPORTS-theft other,Theft,REPORTS-Theft Other,33.6083022,-83.8837373
814979905,17-021870,85746,2017-08-09 09:59:05 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,10100 Block ALLEN DR,CALLS-argument,Other ,CALLS-Argument,33.5731,-83.8703
814979904,17-021871,85746,2017-08-09 10:03:34 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,5100 Block KING ST SE,CALLS-burglary alarm,Other ,CALLS-Burglary Alarm,33.5876,-83.8529
814979903,17-021872,85746,2017-08-09 10:06:26 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,15100 Block ALCOVY RD NE,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6291062,-83.83154630000001
814979902,17-021873,85746,2017-08-09 10:19:35 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,15900 Block ALCOVY RD NE & AVENUE OF CHAMPIONS NE,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.6289,-83.8284
814979901,17-021875,85746,2017-08-09 11:21:02 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,10100 Block CARLIN AVE,CALLS-escort,Proactive Policing,CALLS-Escort,33.5709,-83.8506
814979900,17-021876,85746,2017-08-09 11:33:33 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,6100 Block US HWY 278 NE,CALLS-burglary alarm,Other ,CALLS-Burglary Alarm,33.6021,-83.8426
814979898,17-021878,85746,2017-08-09 11:57:32 AM,2017-08-10 01:30:42 AM,2017-09-16 01:32:29 AM,COVINGTON,GA,,1100 Block OAK ST SE,CALLS-wanted person,Quality of Life,CALLS-Wanted Person,33.59515718791527,-83.85748386383057
814979897,17-021879,85746,2017-08-09 12:01:37 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,2100 Block EMORY ST NW,CALLS-escort,Proactive Policing,CALLS-Escort,33.59951822495323,-83.86317014694214
814979896,17-021880,85746,2017-08-09 12:34:30 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,8200 Block HAZELBRAND RD NE,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.5991,-83.8356
814979895,17-021881,85746,2017-08-09 12:40:20 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,3200 Block US HWY 278 NE,CALLS-citizen assist,Proactive Policing,CALLS-Citizen Assist,33.6024772,-83.85488880000003
814979894,17-021882,85746,2017-08-09 01:17:04 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,3100 Block US HWY 278 NE,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6045104,-83.8586133
814979893,17-021883,85746,2017-08-09 01:21:16 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,7100 Block TURNER LAKE RD NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.6055,-83.8758
814979892,17-021884,85746,2017-08-09 01:44:06 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,1100 Block OAK ST SE,CALLS-law transfer,Other ,CALLS-Law Transfer,33.59515718791527,-83.85748386383057
814979891,17-021885,85746,2017-08-09 01:54:51 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,4100 Block HERRING ST NE,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6054,-83.8597
814979890,17-021886,85746,2017-08-09 01:58:19 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,MALCOLM DR SE,CALLS-littering,Quality of Life,CALLS-Littering,33.5729,-83.8471
814979889,17-021887,85746,2017-08-09 02:00:08 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,EAST ST SE,CALLS-work detail,Other ,CALLS-Work Detail,33.5939,-83.8557
814979888,17-021888,85746,2017-08-09 02:01:37 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,4100 Block BRISCOE ST NW,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6015,-83.8683
814979886,17-021890,85746,2017-08-09 02:28:02 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:30 AM,COVINGTON,GA,,5100 Block US HWY 278 NW,CALLS-fire commercial,Fire,CALLS-Fire Commercial,33.602728,-83.84836889999997
814979885,17-021892,85746,2017-08-09 02:38:53 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,3200 Block WEST ST SW & FOWLER ST SW,CALLS-suspicious,Quality of Life,CALLS-Suspicious,33.5936858,-83.86747509999998
814979884,17-021893,85746,2017-08-09 02:54:42 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,8100 Block TECHNOLOGY DR NE,CALLS-family fight,Other ,CALLS-Family Fight,33.6193,-83.8572
814979883,17-021894,85746,2017-08-09 02:55:36 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,8800 Block I 20 E,CALLS-traffic offense,Traffic,CALLS-Traffic Offense,33.6088,-83.8801
814979882,17-021895,85746,2017-08-09 03:18:13 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,6100 Block US HWY 278 NE,CALLS-suicide threats,Quality of Life,CALLS-Suicide Threats,33.601537810837144,-83.84218454360962
814979880,17-021897,85746,2017-08-09 03:25:09 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,8100 Block BROWN BRIDGE RD SW,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.5915032,-83.88309370000002
